City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hobart,AU,-42.8794,147.3294,66.02,52,75,3.0,broken clouds
79,Jieshi,CN,22.8134,115.8257,76.95,67,24,16.6,few clouds
80,Peniche,PT,39.3558,-9.3811,69.28,95,100,10.2,overcast clouds
81,Nouadhibou,MR,20.931,-17.0347,66.18,100,100,10.36,overcast clouds
82,Dunedin,NZ,-45.8742,170.5036,60.8,61,44,7.0,scattered clouds
83,Mbanza-Ngungu,CD,-5.25,14.8667,69.04,93,98,7.83,overcast clouds
84,Mahebourg,MU,-20.4081,57.7,73.26,94,40,5.75,scattered clouds
85,Novo Aripuana,BR,-5.1206,-60.3797,76.6,80,98,1.72,overcast clouds
86,Marck,FR,50.949,1.9433,51.78,73,79,28.05,broken clouds
87,Tiksi,RU,71.6872,128.8694,8.78,86,100,9.95,overcast clouds
88,Wawa,NG,9.9022,4.4192,73.6,52,74,4.5,broken clouds
89,Luderitz,NA,-26.6481,15.1594,61.54,67,100,7.05,overcast clouds
90,Beringovskiy,RU,63.05,179.3167,5.27,90,72,12.59,broken clouds
91,Portel,BR,-1.9356,-50.8211,76.73,88,82,4.99,broken clouds
92,Tautira,PF,-17.7333,-149.15,84.22,76,59,15.17,broken clouds
93,Rio Grande,BR,-32.035,-52.0986,70.95,90,16,14.54,few clouds
94,Sechura,PE,-5.5569,-80.8222,66.85,71,42,12.39,scattered clouds
95,Nioro,GM,13.35,-15.75,75.54,61,63,5.19,broken clouds
96,Lynchburg,US,37.4138,-79.1423,57.0,80,1,0.0,clear sky
97,New Norfolk,AU,-42.7826,147.0587,65.66,44,100,3.0,overcast clouds
98,Polunochnoye,RU,60.8697,60.4153,19.26,94,100,7.47,light snow
99,Lavrentiya,RU,65.5833,-171.0,12.63,78,100,9.44,overcast clouds
100,Bathsheba,BB,13.2167,-59.5167,77.61,83,75,10.36,broken clouds
101,Neutraubling,DE,48.9833,12.2,45.25,91,40,3.71,scattered clouds
102,Hilo,US,19.7297,-155.09,78.53,79,40,4.61,scattered clouds
103,Roald,NO,62.5833,6.1333,51.94,46,75,12.66,broken clouds
104,Gatton,AU,-27.55,152.2833,75.13,37,80,8.57,broken clouds
105,Kapaa,US,22.0752,-159.319,80.58,80,20,1.01,few clouds
106,Champerico,GT,14.3,-91.9167,81.36,85,100,8.16,overcast clouds
107,Vaini,TO,-21.2,-175.2,80.76,83,75,10.36,broken clouds
108,Tabuk,PH,17.4189,121.4443,81.36,71,69,5.17,broken clouds
109,Yulara,AU,-25.2406,130.9889,80.44,44,0,6.91,clear sky
110,Balabac,PH,7.9868,117.0645,83.55,78,100,19.37,light rain
111,Nueva Helvecia,UY,-34.3,-57.2333,61.59,89,99,13.33,overcast clouds
112,Vryburg,ZA,-26.9566,24.7284,63.45,27,0,6.58,clear sky
113,Tarrega,ES,41.647,1.1396,67.98,84,100,9.31,light rain
114,Khorixas,NA,-20.3667,14.9667,59.09,36,0,3.0,clear sky
115,Mersing,MY,2.4312,103.8405,82.31,83,40,3.44,scattered clouds
116,Hervey Bay,AU,-25.2986,152.8535,77.11,55,100,17.87,overcast clouds
117,Olafsvik,IS,64.8945,-23.7142,34.79,69,24,17.09,few clouds
118,Bomet,KE,-0.7813,35.3416,56.41,77,100,3.56,overcast clouds
119,Port Alfred,ZA,-33.5906,26.891,66.9,76,92,12.8,overcast clouds
120,Orocue,CO,4.7912,-71.3354,75.2,93,100,3.58,overcast clouds
121,Nara,JP,34.6851,135.8049,69.91,53,100,2.42,overcast clouds
122,Ewa Beach,US,21.3156,-158.0072,82.35,60,20,8.99,few clouds
123,Leningradskiy,RU,69.3833,178.4167,-1.44,87,99,12.48,overcast clouds
124,Puerto Ayacucho,VE,5.6639,-67.6236,75.33,89,63,3.42,light rain
125,Nikolskoye,RU,59.7035,30.7861,47.39,91,97,5.64,overcast clouds
126,Tortoli,IT,39.9256,9.6572,64.81,82,20,5.75,few clouds
127,Huron,US,41.1501,-82.5499,52.86,84,80,16.96,broken clouds
128,Hovd,MN,48.0056,91.6419,37.09,22,3,14.94,clear sky
129,Juneau,US,58.3019,-134.4197,39.25,94,90,0.0,fog
130,Lagoa,PT,39.05,-27.9833,68.16,92,100,10.76,overcast clouds
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.52,92,100,18.37,moderate rain
132,Okha,RU,53.5739,142.9478,32.65,55,20,10.94,few clouds
133,Skibbereen,IE,51.55,-9.2667,40.8,74,7,18.5,clear sky
134,Puerto Narino,CO,-3.7703,-70.3831,76.95,97,98,2.26,overcast clouds
135,Dikson,RU,73.5069,80.5464,5.65,93,94,10.6,overcast clouds
136,Darapidap,PH,17.2131,120.4114,84.9,59,9,2.82,clear sky
137,Souillac,MU,-20.5167,57.5167,73.36,94,40,5.75,scattered clouds
138,Kathmandu,NP,27.7167,85.3167,61.02,82,75,2.3,broken clouds
139,Algiers,DZ,36.7525,3.042,71.42,60,20,6.91,few clouds
140,Portree,GB,57.4129,-6.1942,47.52,93,100,23.02,light rain
141,Sayyan,YE,15.1718,44.3244,48.6,60,4,5.37,clear sky
142,Bengkulu,ID,-3.8004,102.2655,82.38,73,100,4.36,overcast clouds
143,Quatre Cocos,MU,-20.2078,57.7625,73.09,74,18,9.82,few clouds
144,Tavrichanka,RU,43.3378,131.8639,44.46,57,100,12.97,moderate rain
145,Alibag,IN,18.6411,72.8792,82.47,63,73,5.48,broken clouds
146,San Cristobal,VE,7.7669,-72.225,66.38,97,98,0.94,light rain
147,Haines Junction,CA,60.7522,-137.5108,35.55,51,100,4.61,overcast clouds
148,Yankton,US,42.8711,-97.3973,38.12,60,1,9.22,clear sky
149,Naze,JP,28.3667,129.4833,68.92,75,22,14.18,few clouds
150,Swanzey,US,42.8698,-72.2818,56.46,88,75,4.61,broken clouds
151,Hasaki,JP,35.7333,140.8333,66.29,69,100,4.81,overcast clouds
152,Marabba,SD,12.35,32.1833,82.58,48,94,3.91,overcast clouds
153,Buala,SB,-8.145,159.5921,83.43,73,74,5.88,moderate rain
154,Sabancuy,MX,18.9667,-91.1833,75.69,70,7,9.62,clear sky
155,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,75,11.5,broken clouds
156,Provideniya,RU,64.3833,-173.3,19.51,58,0,11.18,clear sky
157,Pahrump,US,36.2083,-115.9839,72.1,32,76,3.0,broken clouds
158,Castro,BR,-24.7911,-50.0119,58.12,96,98,8.14,overcast clouds
159,Fort Nelson,CA,58.8053,-122.7002,22.59,80,20,2.3,few clouds
160,Padang,ID,-0.9492,100.3543,84.25,77,100,2.62,overcast clouds
161,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,32,20,7.0,few clouds
162,Kirkenaer,NO,60.4564,12.0582,45.88,90,100,12.37,overcast clouds
163,Masvingo,ZW,-20.0637,30.8277,61.81,79,1,3.0,clear sky
164,Tabat,ID,-2.635,115.2274,80.56,78,97,2.64,overcast clouds
165,Adrar,MR,20.5022,-10.0711,82.0,22,69,8.12,broken clouds
166,Hithadhoo,MV,-0.6,73.0833,82.02,75,99,19.91,overcast clouds
167,Antalaha,MG,-14.9003,50.2788,73.62,84,2,3.47,clear sky
168,Port-Gentil,GA,-0.7193,8.7815,78.31,86,100,14.38,moderate rain
169,Klaksvik,FO,62.2266,-6.589,41.92,69,100,15.75,overcast clouds
170,Bonthe,SL,7.5264,-12.505,75.09,91,100,3.33,overcast clouds
171,Porgera,PG,-5.4667,143.2,52.36,89,100,2.66,overcast clouds
172,Quzhou,CN,28.9594,118.8686,69.04,66,98,7.18,overcast clouds
173,Boende,CD,-0.2167,20.8667,68.83,96,100,1.48,overcast clouds
174,Walvis Bay,NA,-22.9575,14.5053,59.09,88,0,4.61,clear sky
175,Kavieng,PG,-2.5744,150.7967,85.71,67,69,14.0,broken clouds
176,Kuching,MY,1.55,110.3333,84.42,84,40,3.44,scattered clouds
177,Panji,ID,-7.7253,114.0995,87.57,60,100,5.32,overcast clouds
